City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Avera,US,2021-05-31 00:04:45,33.194,-82.5271,76.66,48,0,2.55
220,Narsaq,GL,2021-05-31 00:07:25,60.9167,-46.05,46.62,67,2,0.25
221,Bambous Virieux,MU,2021-05-31 00:06:14,-20.3428,57.7575,72.21,81,33,8.3
222,Jamestown,US,2021-05-31 00:03:35,42.097,-79.2353,58.32,54,1,9.22
223,Lata,PT,2021-05-31 00:06:59,40.1629,-8.3327,64.72,82,6,1.81
224,Doha,QA,2021-05-31 00:07:25,25.2867,51.5333,93.18,29,0,5.75
225,Farmington,US,2021-05-31 00:07:25,36.7281,-108.2187,86.77,7,1,12.66
226,Capua,IT,2021-05-31 00:07:25,41.0997,14.2201,65.53,48,65,5.57
227,Gamba,GA,2021-05-31 00:06:13,-2.65,10.0,76.14,90,92,6.55
228,Kuching,MY,2021-05-31 00:07:26,1.55,110.3333,75.42,100,20,0.0
229,San Carlos,VE,2021-05-31 00:07:26,9.6612,-68.5827,80.22,66,81,3.13
230,Contramaestre,CU,2021-05-31 00:07:26,20.2978,-76.2414,80.58,94,54,1.59
231,Novyy Urengoy,RU,2021-05-31 00:07:26,66.0833,76.6333,39.78,62,97,13.51
232,Deniliquin,AU,2021-05-31 00:07:27,-35.5333,144.9667,46.99,50,0,4.72
233,Calceta,EC,2021-05-31 00:07:27,-0.85,-80.1667,76.37,87,98,3.78
234,Banepa,NP,2021-05-31 00:07:27,27.6298,85.5214,66.52,100,75,2.24
235,Kenai,US,2021-05-31 00:07:27,60.5544,-151.2583,61.03,51,90,12.66
236,Kerman,IR,2021-05-31 00:07:28,30.2832,57.0788,60.66,23,0,2.15
237,Zhanaozen,KZ,2021-05-31 00:03:46,43.3,52.8,72.7,60,0,19.33
238,Adrar,MR,2021-05-31 00:07:28,20.5022,-10.0711,87.84,30,100,7.72
239,Sao Joao Da Barra,BR,2021-05-31 00:03:57,-21.6403,-41.0511,73.26,94,54,6.04
240,Beni Suef,EG,2021-05-31 00:07:28,29.0731,31.0979,86.63,13,0,7.7
241,Coihaique,CL,2021-05-31 00:07:28,-45.5752,-72.0662,40.95,93,40,0.0
242,Tahlequah,US,2021-05-31 00:07:29,35.9154,-94.97,72.3,60,1,0.0
243,Suplac,RO,2021-05-31 00:07:29,46.3833,24.5167,45.66,93,38,0.2
244,Mahebourg,MU,2021-05-31 00:07:29,-20.4081,57.7,72.25,82,24,8.32
245,Taltal,CL,2021-05-31 00:07:29,-25.4,-70.4833,63.14,79,23,4.27
246,Ratnagiri,IN,2021-05-31 00:06:55,16.9833,73.3,81.54,82,100,3.22
247,East London,ZA,2021-05-31 00:07:30,-33.0153,27.9116,56.59,65,87,8.81
248,Beauceville,CA,2021-05-31 00:07:30,46.2179,-70.7787,53.74,95,100,2.93
249,Touros,BR,2021-05-31 00:07:30,-5.1989,-35.4608,77.11,86,62,9.42
250,Majitha,IN,2021-05-31 00:07:30,31.7583,74.9544,82.29,74,0,7.65
251,Nelson Bay,AU,2021-05-31 00:07:31,-32.7167,152.15,60.78,75,84,1.99
252,Karymskoye,RU,2021-05-31 00:07:31,51.6167,114.35,48.4,41,97,7.2
253,Nouadhibou,MR,2021-05-31 00:07:31,20.931,-17.0347,65.95,89,13,20.11
254,Torbay,CA,2021-05-31 00:05:38,47.6666,-52.7314,50.76,100,74,3.42
255,Ancud,CL,2021-05-31 00:07:31,-41.8697,-73.8203,56.23,96,100,14.38
256,Campoverde,PE,2021-05-31 00:07:32,-8.4753,-74.8058,82.09,77,92,2.51
257,Hovd,MN,2021-05-31 00:07:32,48.0056,91.6419,49.32,31,14,2.39
258,Portland,US,2021-05-31 00:04:26,45.5234,-122.6762,86.36,33,40,1.99
259,Neckarsulm,DE,2021-05-31 00:07:32,49.1928,9.2261,54.05,79,1,5.86
260,Philippeville,BE,2021-05-31 00:07:32,50.1957,4.5417,55.35,69,75,1.99
261,Fare,PF,2021-05-31 00:07:33,-16.7,-151.0167,79.47,75,100,17.56
262,Muli,MV,2021-05-31 00:07:33,2.9167,73.5667,83.71,70,22,21.09
263,Thompson,CA,2021-05-31 00:07:33,55.7435,-97.8558,62.82,27,35,4.27
264,Olafsvik,IS,2021-05-31 00:07:33,64.8945,-23.7142,43.68,76,79,14.05
265,Sao Filipe,CV,2021-05-31 00:07:34,14.8961,-24.4956,73.02,80,85,8.55
266,Kapuskasing,CA,2021-05-31 00:06:07,49.4169,-82.4331,63.41,27,45,12.71
267,Ippy,CF,2021-05-31 00:07:34,6.2679,21.2247,74.25,78,39,2.86
268,Laguna,US,2021-05-31 00:07:34,38.421,-121.4238,101.95,25,1,3.0
269,Ketchikan,US,2021-05-31 00:07:34,55.3422,-131.6461,55.38,96,100,2.91
270,Alice Springs,AU,2021-05-31 00:04:19,-23.7,133.8833,54.95,35,0,5.97
271,Dolores,AR,2021-05-31 00:07:35,-36.3132,-57.6792,43.5,71,64,8.21
272,Beringovskiy,RU,2021-05-31 00:07:35,63.05,179.3167,38.82,73,35,12.64
273,Tuatapere,NZ,2021-05-31 00:07:35,-46.1333,167.6833,49.82,95,100,6.31
274,Aketi,CD,2021-05-31 00:07:35,2.7388,23.7833,71.37,98,70,1.97
275,Messina,IT,2021-05-31 00:07:36,38.1933,15.5497,66.2,78,6,3.0
276,Dunedin,NZ,2021-05-31 00:07:36,-45.8742,170.5036,50.81,85,100,11.01
277,Lerwick,GB,2021-05-31 00:07:36,60.1545,-1.1494,46.4,97,59,10.36
278,Cabo San Lucas,MX,2021-05-31 00:07:36,22.8909,-109.9124,98.51,28,1,13.8
